,82M101M39M18,82M101M39M24,82M101M39M19,82M101M39M21,82M101M39M20,82M101M39M22,82M101M39M23,82M101M39M1,82M101M39M3,82M101M39M2,82M101M39M6,82M101M39M7,82M101M39M5,82M101M39M4,82M101M39M9,82M101M39M8,82M101M39M12,82M101M39M13,82M101M39M11,82M101M39M10,82M101M39M14,82M101M39M15,82M101M39M17,82M101M39M16
2018-09-18,0.3247513037507271,0.546585947841854,0.6144048420797057,0.9556723021041036,0.27392010144965084,0.2806720436403167,0.1099408752331535,0.14813506213293806,0.037666588261959295,0.07333138036447366,0.05113495004104956,0.20291299393111467,0.1404124737948078,0.08632948524806898,0.10843296601063811,0.0883995975844009,0.22337730042299386,0.7193949210675692,0.0683100214953212,0.008325216553411051,0.2642275696302648,0.3550846479892137,0.15586491429539456,0.19209463253600947
2018-09-19,0.15291532287836,0.2300530032175766,0.8856427765900923,0.8257250450018571,0.42170765560697576,0.5253939227797342,0.526863290797754,0.08815028911151686,0.2933105623514587,0.17271494745010846,0.12282830976223454,0.5309029312990866,0.3748650890123407,0.161609055598196,0.35206679430622406,0.4874590350165886,0.4591082476584639,0.15924780549398299,0.08377046924801448,0.1104862005019574,0.32469853876570764,0.28550888210614545,0.39996188995643844,0.5196312000530563
2018-09-20,0.3125497011737851,0.6294819269937727,0.7506564123519147,0.9740181660697003,0.28656416380558475,0.1291084962478165,0.28723859063631924,0.0855646281231404,0.25907804201125795,0.2054633447021518,0.10943821371054865,0.23661305372755928,0.35230580816765983,0.18472855902054663,0.3607278341222148,0.21637587197224425,0.267140196349395,0.6750552757056368,0.15469948009430054,0.33666603954853874,0.45019832314112385,0.209263091917414,0.10570078310429214,0.1372379950597224
2018-09-21,0.23023592324303377,0.2326265747567904,0.7832114262832566,0.9173270050554824,0.1030780037442733,0.3448495822214794,0.22611728025862965,0.38391063083249033,0.41425827388722497,0.35453543075062655,0.3026581925818039,0.2633070313845253,0.3495168617834322,0.39177978159647175,0.40683526286161315,0.5176038112269441,0.1356474816543083,0.4335132925996569,0.4247514698263235,0.4504959616487902,0.5381512524165554,0.411893581634978,0.45625758314659204,0.2522166039937287
2018-09-22,0.17368191098953625,0.34839806031697806,0.6534917078428168,0.9395551899242011,0.20485237943056156,0.5027652933884428,0.1820259832264986,0.20079351052573607,0.13415981565539162,0.10988591964020847,0.3661850080358482,0.31504910800403857,0.09101590036496494,0.0712126787487779,0.4254236262771518,0.642777273955892,0.3686387054364713,0.17592930348951574,0.557732079742167,0.3982322808692667,0.5590391523982874,0.32495806491426643,0.1792291958132429,0.3599484799956807
2018-09-23,0.2313021736627077,0.3957934442051007,0.5448360640241462,0.9474381655454274,0.2675163456388689,0.4363655360831317,0.24109281193003673,0.29825351383030385,0.11194580365636378,0.1347352560147149,0.0765102574202749,0.1599937122357113,0.13073758080631573,0.046122573600230324,0.319124211332247,0.0983599590284122,0.20121860944564415,0.3131137553440183,0.47600974136314006,0.28445078532852064,0.5683326297029804,0.24202791559752468,0.20659468987386703,0.31851070711319085
2018-09-25,0.5660556521068271,0.445119654729413,0.053930534469400326,0.989327053757317,0.6013303226104152,0.16760062583424928,0.509065327326161,,,,0.09584200029986845,0.4549978497001135,0.171446299711851,,0.3300564079513388,0.32814706915800373,0.5016516233697365,0.6983998724066772,0.11395122414614278,0.35201297887739796,0.32001585928017917,0.6241375853177586,0.32073578683419274,0.22931905368778338
2018-09-27,0.614635121108895,0.5104455466633193,0.04618736777792338,0.9929127002915984,0.6514627387564594,0.27431546703205345,0.5160912910863074,0.14152471398182223,0.06763160421421041,0.10634147606119981,0.158264208448768,0.6320378205394842,0.3477266003270613,0.1788372645059286,0.5230191749369063,0.55437461932808,0.6647729281386896,0.7946016042588224,0.11346080202923203,0.3979644741365482,0.26286707394291875,0.7446298552551398,0.38974834789543444,0.29813352183445996
2018-09-28,0.46194601145129205,0.4938912535361113,0.09295052659711923,0.9921050663201225,0.4860726195134223,0.16291994654998274,0.4901663964424984,0.028799205754433625,0.3317378200331818,0.32219059031245256,0.17761209188699265,0.6244517094996339,0.4638971858770757,0.3002672409059015,0.49797208036254376,0.4790808411290107,0.5936496244919389,0.7667328946776772,0.173871880721947,0.3479779067623697,0.2846655155559544,0.6282830229126853,0.27567881671846217,0.3278857704405762
2018-09-29,0.2972882464724138,0.3242771075787759,0.6421404327064792,0.9499668293519263,0.3154143060639205,0.32668697686859344,0.2753728573529892,0.30178919878256805,0.27667956343156824,0.1583756926609411,0.4653926365350756,0.30429663635959775,0.15748031538365487,0.2294403341487276,0.3315771602552665,0.6525669898818828,0.5408700000021507,0.3034290235548778,0.42416496921879576,0.5438755161715836,0.5743160173805538,0.24885082489430407,0.33711316968837285,0.34677887819957137
